,product,input,intent,result
79,차밍 브레이슬릿,어떤 손목에도 잘 어울리는 매력적인 여성용 팔찌,보석|팔찌,보석|팔찌
80,다크 슬레이트 그레이 드레서,세 개의 서랍이 달린 타의 추종을 불허하는 다크 슬레이트 그레이 드레서는 필수품입니다.,가구|옷장,가구|옷장
81,실내 식물,유기농 농장에서 지속 가능한 방식으로 재배한 실내 식물,꽃|식물,꽃|식물
82,다크 그레이 오피스 체어,사무실을 위한 타의 추종을 불허하는 짙은 회색 의자,가구|의자,가구|테이블
83,베이지 앤 블랙 슈즈,남성용 베이지와 블랙 포멀 슈즈 한 켤레,신발|정장,신발|정장
84,비스크 작업대,이 완벽한 비스크 작업대로 생산성을 높이세요,가구|테이블,가구|테이블
85,가죽 백팩,가죽 백팩은 여행에 좋습니다,액세서리|배낭,액세서리|배낭
86,시에나 소파,이 풍성한 시에나 소파는 모든 객실의 하이라이트가 될 것입니다,가구|소파,가구|소파
87,황갈색 작업대,사무실을 위한 타의 추종을 불허하는 탱크 작업대,가구|테이블,가구|테이블
88,화이트 스니커즈,이 스웰 화이트 스니커즈는 도시 탐험에 안성맞춤입니다.,신발|스니커즈,신발|스니커즈
89,어니언,이 풍미가 풍부하고 다양한 채소를 식료품 저장실에 잘 보관하십시오.,식료품|야채,식료품|야채
90,조리기구,모든 주방에서 타의 추종을 불허합니다,가정용품|주방,가정용품|주방
91,크리스마스 오너먼트,휴일에 가장 좋아하는 것,계절|크리스마스,계절|크리스마스
92,힙 벨트,모든 상황에 맞는 힙 벨트,액세서리|벨트,액세서리|벨트
93,다크 슬레이트 그레이 백팩,다크 슬레이트 그레이 백팩은 여행에 편리합니다,액세서리|배낭,액세서리|배낭
94,찻주전자,주방에 꼭 필요한 아이템,가정용품|주방,가정용품|주방
95,엣지 글래스,여성용 엣지 안경,액세서리|안경,액세서리|안경
96,블랙 다이닝 체어,어떤 식당에도 어울리는 타의 추종을 불허하는 블랙 체어,가구|의자,가구|의자
97,게인즈버러 스니커즈,어디에나 어울리는 멋진 게인즈버러 스니커즈,신발|스니커즈,가구|의자
98,일렉트릭 베이스,이 일렉트릭 베이스는 아마추어 및 전문 음악가에게 적합합니다.,악기 | 현악기,악기 | 현악기
99,맥주 글래스,모든 주방과 비교할 수 없습니다,가정용품|주방,가정용품|주방
100,라이트 스틸 블루 셔츠,여성용 엣지 라이트 스틸 블루 캐주얼 셔츠,의류|셔츠,의류|셔츠
101,크리스마스 리스,연말연시 머스트해브 아이템,계절|크리스마스,계절|크리스마스
102,다크 올리브 그린 다이닝 테이블,온 가족을 위한 타의 추종을 불허하는 다크 올리브 그린 다이닝 룸,가구|테이블,가구|테이블
103,화이트 플레이트,주방에 꼭 필요한 아이템,가정용품|주방,가정용품|주방
104,일렉트릭 기타,이 일렉트릭 기타는 가장 까다로운 뮤지션을 기쁘게 할 것입니다.,악기 | 현악기,악기 | 현악기
105,플로랄 디자인 플레이트,모든 주방에서 타의 추종을 불허합니다,가정용품|주방,가정용품|주방
106,부활절 캔디,4월의 머스트해브 아이템,계절|부활절,계절|부활절
107,보기시 안경,여성용 보귀시 안경,액세서리|안경,액세서리|안경
108,차저 플레이트,모든 주방에 적합,가정용품|주방,가정용품|주방
109,발렌타인 인형 테디베어,특별한 날을 위한 머스트해브 아이템,계절별|발렌타인,계절별|발렌타인
110,보기시 안경,이 멋진 여성용 안경은 어디에나 완벽합니다.,액세서리|안경,액세서리|안경
111,블랙 백팩,이 여성용 블랙 백팩은 이번 시즌 최고의 제품입니다.,액세서리|배낭,액세서리|배낭
112,블랙 스니커즈,도시에서 탐험할 수 있는 패셔너블한 블랙 스니커즈,신발|스니커즈,신발|스니커즈
113,카메라,아마추어 및 전문가용 카메라,전자제품|카메라,전자제품|카메라
114,슬레이트 그레이 재킷,남성용 멋진 캐주얼 재킷,의류|재킷,의류|재킷
115,스카이 블루 재킷,남성용 따뜻한 올 시즌 캐주얼 재킷,의류|재킷,의류|재킷
116,돼지고기,우리 돼지고기는 농부들이 지속 가능한 방식으로 사육합니다.,식료품|고기,식료품|고기
117,키보드,이 키보드는 가장 까다로운 음악가를 기쁘게 할 것입니다,악기|키,악기|키
118,린넨 휴 핸드백,드레시한 날을 위한 리넨 색조 핸드백,액세서리|핸드백,액세서리|핸드백
119,바이올린,이 바이올린은 아마추어 및 전문 음악가에게 적합합니다.,악기 | 현악기,악기 | 현악기
120,블루 플레이트,주방에 꼭 필요한 아이템,가정용품|주방,가정용품|주방
121,그레이 암체어,어떤 방에도 잘 어울리는 그루비 그레이 암체어,가구|의자,가구|의자
122,민트,이 맛있는 채소는 모든 식료품 저장실에 꼭 있어야 할 필수품입니다.,식료품|야채,식료품|야채
123,트렌디 셔츠,트렌디하고 드레시한 남성용 셔츠,의류|셔츠,의류|셔츠
124,부활절 초콜릿 에그,4월 초순에 가장 인기 있는 메뉴,계절|부활절,계절|부활절
125,화이트 오피스 체어,사무실에 적합한 흰색 의자,가구|의자,가구|의자
126,다크 슬레이트 그레이 액센트 테이블,방을 돋보이게 해줄 엣지 있는 다크 슬레이트 그레이 액센트 테이블,가구|테이블,가구|테이블
127,다크 슬레이트 그레이 드레서,서랍이 많은 타의 추종을 불허하는 다크 슬레이트 그레이 드레서는 필수품입니다.,가구|옷장,가구|옷장
128,핫핑크 슈즈,여성용 핫 핑크 포멀 슈즈 한 켤레,신발|정장,신발|정장
129,유리 꽃병,이 유리 꽃병은 모두를 기쁘게 할 것입니다,가정 장식 | 장식,가정 장식 | 장식
130,블랙 슈즈,남성용 블랙 포멀 슈즈 한 켤레,신발|정장,신발|정장
131,화이트 소파,이 호화로운 화이트 소파는 모든 객실의 하이라이트가 될 것입니다.,가구|소파,가구|소파
132,멋진 세라믹 볼,이 멋진 세라믹 그릇은 필수품입니다.,가정용품|그릇,가정용품|그릇
133,화이트 다이닝 테이블,온 가족을 위한 이상적인 화이트 다이닝 룸,가구|테이블,가구|테이블
134,블랙 셔츠,남성용 블랙 캐주얼 셔츠,의류|셔츠,의류|셔츠
135,블랙 백팩,이 블랙 백팩은 이번 시즌 타의 추종을 불허합니다.,액세서리|배낭,액세서리|배낭
136,어쿠스틱 기타,이 어쿠스틱 기타는 가장 까다로운 뮤지션을 기쁘게 할 것입니다.,악기 | 현악기,악기 | 현악기
137,슬립온 샌들,울트라시크 여성용 슬립온 샌들,신발|샌들,신발|샌들
138,다크 슬레이트 그레이 스니커즈,다크 슬레이트 그레이 스니커즈를 신고 도시를 탐험해보세요,신발|스니커즈,신발|스니커즈
139,골든로드 스니커즈,새로운 도시를 탐험할 수 있는 힙한 골든로드 스니커즈,신발|스니커즈,신발|스니커즈
140,할로윈 코스튬,모두에게 사랑받는 기발한 날을 위한 머스트 해브 아이템,계절별|할로윈,계절별|할로윈
141,스파클리 힐,여성용 스파클리 힐 한 켤레,신발|정장,신발|정장
142,실내 식물,재배자로부터 신선하고 활기찬 실내 식물을 제공합니다.,꽃|식물,꽃|식물
143,슬립온 샌들,이 패셔너블한 남성용 샌들은 여름에 딱 맞습니다.,신발|샌들,신발|샌들
144,실내 식물,유기농 농장에서 지속 가능한 방식으로 재배한 실내 식물,꽃|식물,꽃|식물
145,등나무 바구니,이 라탄 바구니는 홈 데코를 위한 머스트해브 아이템입니다.,가정 장식 | 장식,가정 장식 | 장식
146,크리스마스 피규어,휴일에 가장 좋아하는 것,계절|크리스마스,계절|크리스마스
147,황갈색 암체어,이 편안한 황갈색 안락 의자에서 휴식을 취하십시오,가구|의자,가구|의자
148,유리 꽃병,이 유리 꽃병은 홈 데코를 위한 머스트해브 아이템입니다.,가정 장식 | 장식,가정 장식 | 장식
149,브라운 슈즈,남성용 갈색 정장 신발 한 켤레,신발|정장,신발|정장
150,크리스마스 리스,연말연시 머스트해브 아이템,계절|크리스마스,계절|크리스마스
151,블루 백팩,이 블루 백팩은 이번 시즌에 타의 추종을 불허합니다,액세서리|배낭,액세서리|배낭
152,화이트 워크 테이블,타의 추종을 불허하는 이 흰색 작업대로 생산성을 높이십시오.,가구|테이블,가구|테이블
153,비디오 카메라,아마추어 및 전문가용 비디오 카메라,전자제품|카메라,전자제품|카메라
154,린넨 휴 셔츠,린넨 휴 남성 캐주얼 셔츠,의류|셔츠,의류|셔츠
155,어쿠스틱 기타,이 어쿠스틱 기타는 아마추어 및 전문 뮤지션에게 적합합니다.,악기 | 현악기,악기 | 현악기
156,파우더 블루 스니커즈,올라운드 모디쉬 컬러의 파우더 블루 스니커즈,신발|스니커즈,신발|스니커즈
157,크림슨 셔츠,여성용 새시 크림슨 캐주얼 셔츠,의류|셔츠,의류|셔츠
158,할로윈 허수아비,모두에게 사랑받는 기발한 날을 위한 머스트 해브 아이템,계절별|할로윈,계절별|할로윈
159,플로어 램프,이 플로어 램프는 집을 더욱 돋보이게 할 것입니다.,홈 데코 | 조명,홈 데코 | 조명
160,크리스마스 피규어,휴일에 가장 좋아하는 것,계절|크리스마스,계절|크리스마스
161,뛰어난 낚시 릴,모든 낚싯대를 위한 뛰어난 낚시 릴,야외|낚시,야외|낚시
162,매력적인 세라믹 볼,어떤 상황에도 어울리는 매력적인 세라믹 그릇,가정용품|그릇,가정용품|그릇
163,화이트 드레서,이 타의 추종을 불허하는 옷장에는 모든 물건을 정리할 수 있는 많은 서랍이 있습니다.,가구|옷장,가구|옷장
164,카데트 블루 스퀘어 쿠션,이 카데트 블루 스퀘어 쿠션은 매우 부드럽습니다.,홈 데코 | 쿠션,홈 데코 | 쿠션
165,크리스마스 머그,휴일에 가장 좋아하는 것,계절|크리스마스,계절|크리스마스
166,찻주전자,모든 주방에서 타의 추종을 불허합니다,가정용품|주방,가정용품|주방
167,프레임,이 액자는 홈 데코를 위한 머스트해브 아이템입니다.,가정 장식 | 장식,가정 장식 | 장식
168,행잉 램프,이 벽걸이 램프는 집을 더욱 돋보이게 할 것입니다,홈 데코 | 조명,홈 데코 | 조명
169,쿠키,주방에서 매일 신선하게 만드는 쿠키,식료품|베이커리,식료품|베이커리
170,할로윈 화환,10월 초에 꼭 주문하세요,계절별|할로윈,계절별|할로윈
171,그레이 소파,이 화려한 회색 소파는 모든 방의 하이라이트가 될 것입니다,가구|소파,가구|소파
172,튤립 어레인지,유기농 농장에서 지속 가능한 방식으로 재배한 튤립,플로럴|어레인지먼트,플로럴|어레인지먼트
173,브라운 셔츠,슈퍼쿨 브라운 여성용 캐주얼 셔츠,의류|셔츠,의류|셔츠
174,대퍼 벨트,모든 상황에 어울리는 단아한 벨트,액세서리|벨트,액세서리|벨트
175,펑키 벨트,이 펑키한 여성용 벨트는 어떤 상황에도 잘 어울립니다.,액세서리|벨트,액세서리|벨트
176,서브라임 브레이슬릿,어떤 상황에도 잘 어울리는 여성용 서브라임 브레이슬릿,보석|팔찌,보석|팔찌
177,게인즈버러 소파,어떤 방에도 어울리는 타의 추종을 불허하는 게인즈버러 소파,가구|소파,가구|소파
178,슈퍼쿨 화이트 셔츠,매우 멋진 남성용 드레시 화이트 셔츠,의류|셔츠,의류|셔츠
179,소고기,우리의 쇠고기는 유기농이며 지속 가능한 방식으로 사육됩니다.,식료품|고기,식료품|고기
180,새들 브라운 작업대,사무실을 위한 비교할 수 없는 새들 브라운 작업대,가구|테이블,가구|의자
181,다크 슬레이트 그레이 소파,모든 객실에 적합한 다크 슬레이트 그레이 소파,가구|소파,가구|소파
182,블루 암체어,이 멋진 파란색 안락 의자에서 휴식을 취하십시오,가구|의자,가구|의자
183,플로어 램프,이 플로어 램프는 집을 더욱 돋보이게 할 것입니다.,홈 데코 | 조명,홈 데코 | 조명
184,화이트 힐,여성용 화이트 포멀 힐 한 켤레,신발|정장,신발|정장
185,디피니티브 피싱 릴,모든 낚싯대를 위한 최고의 낚시 릴,야외|낚시,야외|낚시
186,데님 재킷,사계절 내내 입을 수 있는 멋진 남성용 캐주얼 재킷,의류|재킷,의류|재킷
187,크리스마스 장식,연말연시 머스트해브 아이템,계절|크리스마스,계절|크리스마스
188,크리스마스 오너먼트,연말연시 머스트해브 아이템,계절|크리스마스,계절|크리스마스
189,컵케이크,주방에서 매일 신선하게 만드는 컵케이크,식료품|베이커리,식료품|베이커리
190,크리스마스 오너먼트,휴일에 가장 좋아하는 것,계절|크리스마스,계절|크리스마스
191,발렌타인 데코레이션,특별한 날을 위해 일찍 주문하세요.,계절별|발렌타인,계절별|발렌타인
192,할로윈 허수아비,10월 초에 꼭 주문하세요,계절별|할로윈,계절별|할로윈
193,어니언,이 맛있는 채소는 모든 식료품 저장실에 꼭 있어야 합니다.,식료품|야채,식료품|야채
194,할로윈 사인,모두에게 사랑받는 기발한 날을 위한 머스트 해브 아이템,계절별|할로윈,계절별|할로윈
195,다크 슬레이트 그레이 소파,이 고급 다크 슬레이트 그레이 소파는 모든 객실의 하이라이트가 될 것입니다.,가구|소파,가구|소파
196,카메라,아마추어 및 전문가용 카메라,전자제품|카메라,전자제품|카메라
197,블랙 오피스 체어,이 멋진 검은색 사무용 의자로 생산성을 높이세요.,가구|의자,가구|의자
198,라이트 슬레이트 그레이 작업대,타의 추종을 불허하는 라이트 슬레이트 그레이 작업대로 생산성을 높이십시오.,가구|테이블,가구|테이블
199,세련된 세라믹 볼,모든 상황에 어울리는 세련된 세라믹 그릇,가정용품|그릇,가정용품|그릇
200,로즈 골드 힐,여성용 로즈 골드 포멀 힐 한 켤레,신발|정장,신발|정장
201,발렌타인 데코레이션,특별한 날을 위해 일찍 주문하세요.,계절별|발렌타인,계절별|발렌타인
202,게인즈버러 스니커즈,새로운 도시에서의 산책을 위한 울트라힙한 게인즈버러 스니커즈,신발|스니커즈,신발|스니커즈
203,스플렌디드 세라믹 볼,이 멋진 도자기 그릇은 필수품입니다,가정용품|그릇,가정용품|그릇
204,업라이트 피아노,이 업라이트 피아노는 아마추어 및 전문 음악가에게 적합합니다.,악기|키,악기|키
205,다크 그레이 안락 의자,이 멋진 짙은 회색 안락 의자에서 휴식을 취하십시오,가구|의자,가구|의자
206,게인즈버러 셔츠,트렌디한 게인즈버러 여성용 캐주얼 셔츠,의류|셔츠,의류|셔츠
207,일렉트릭 기타,이 일렉트릭 기타는 아마추어 및 전문 뮤지션에게 적합합니다.,악기 | 현악기,악기 | 현악기
208,게인즈버러 암체어,어떤 방에도 어울리는 멋진 게인즈버러 암체어,가구|의자,가구|의자
209,다크 올리브 그린 백팩,가을 내내 걸을 수 있는 다크 올리브 그린 남성용 백팩,액세서리|배낭,액세서리|배낭
210,샌디 브라운 핸드백,이 캐주얼한 샌디 브라운 핸드백은 어디에서든 최고급입니다.,액세서리|핸드백,액세서리|핸드백
211,등나무 바구니,이 라탄 바구니는 홈 데코를 위한 머스트해브 아이템입니다.,가정 장식 | 장식,가정 장식 | 장식
212,장미 어레인지먼트,재배자들이 신선하고 생동감 넘치는 장미 어레인지먼트를 제공합니다.,플로럴|어레인지먼트,플로럴|어레인지먼트
213,신뢰할 수 있는 낚시 네트,이 믿을 수 있는 어망은 반드시 성공을 가져다 줄 것입니다,야외|낚시,야외|낚시
214,카메라,아마추어 및 전문가용 카메라,전자제품|카메라,전자제품|카메라
215,장미 어레인지먼트,유기농 농장에서 지속 가능한 방식으로 재배한 장미,플로럴|어레인지먼트,플로럴|어레인지먼트
216,러블리 블루 마스카라,이 푸른 색조 너머는 절대 보이지 않을 것입니다.,뷰티|그루밍,뷰티|그루밍
217,아스파라거스,이 맛있고 다양한 채소를 식료품 저장실에 잘 보관하십시오.,식료품|야채,식료품|야채
218,시에나 스퀘어 쿠션,이 시에나 스퀘어 쿠션은 매우 부드럽습니다.,홈 데코 | 쿠션,홈 데코 | 쿠션
219,플로어 램프,이 플로어 램프는 집 조명에 꼭 필요한 제품입니다.,홈 데코 | 조명,홈 데코 | 조명
220,패셔너블 스카프,어떤 상황에도 어울리는 세련된 남성용 스카프,의류|스카프,의류|스카프
221,다크 슬레이트 그레이 재킷,단열 기능이 뛰어난 남성용 사계절 캐주얼 재킷,의류|재킷,의류|재킷
222,신뢰할 수 있는 낚시 릴,믿을 수 있고 사용하기 쉬운 낚시 릴,야외|낚시,야외|낚시
223,패셔너블 스카프,어떤 상황에도 어울리는 세련된 남성용 스카프,의류|스카프,의류|스카프
224,발렌타인 데코레이션,특별한 날을 위한 머스트해브 아이템,계절별|발렌타인,계절별|발렌타인
225,세라믹 꽃병,이 세라믹 꽃병은 모두를 기쁘게 할 것입니다.,가정 장식 | 장식,가정 장식 | 장식
226,어쿠스틱 베이스,이 어쿠스틱 베이스는 아마추어 및 전문 음악가에게 적합합니다.,악기 | 현악기,악기 | 현악기
227,워터프루프 아이라이너 및 마스카라,스타일리시한 옐로우 색상으로 사우나와 세차장에서 착용할 수 있습니다.,뷰티|그루밍,홈 데코 | 쿠션
228,미니멀리즘 티셔츠,남성 캐주얼 티셔츠,의류|셔츠,의류|셔츠
229,화이트 플레이트,모든 주방에 적합,가정용품|주방,가정용품|주방
230,화이트 다이닝 체어,어떤 식당에도 어울리는 비교할 수 없는 흰색 의자,가구|의자,가구|의자
231,다크 슬레이트 그레이 코트,산악용 남성용 단열 캐주얼 코트,의류|재킷,의류|재킷
232,부활절 초콜릿 에그,4월의 머스트해브 아이템,계절|부활절,계절|부활절
233,다크 슬레이트 그레이 스니커즈,다재다능한 모험을 선사하는 다크 슬레이트 그레이 스니커즈,신발|스니커즈,신발|스니커즈
234,그레이 스퀘어 쿠션,이 회색 사각형 쿠션은 집에 꼭 있어야 할 필수품입니다.,홈 데코 | 쿠션,홈 데코 | 쿠션
235,피칸 파이,이 맛있는 피칸 파이는 매일 신선하게 만들어집니다.,식료품|베이커리,식료품|베이커리
236,블랙 백팩,블랙 백팩은 여행에 유용합니다,액세서리|배낭,액세서리|배낭
237,다크 카키 드레서,이 타의 추종을 불허하는 옷장에는 모든 물건을 정리할 수 있는 서랍이 하나 있습니다.,가구|옷장,가구|옷장
238,스포티 블루 코트,사계절 남성용 따뜻한 캐주얼 코트,의류|재킷,의류|재킷
239,베리 애플 파이,이 맛있는 베리 애플 파이는 매일 신선하게 만들어집니다,식료품|베이커리,식료품|베이커리
240,테이퍼 캔들,이 테이퍼 캔들은 집 조명에 꼭 필요한 아이템입니다.,홈 데코 | 조명,홈 데코 | 조명
241,다크 카키 작업대,이 뛰어난 다크 카키 작업대로 생산성을 높이십시오.,가구|테이블,가구|테이블
242,유리 꽃병,이 유리 꽃병은 홈 데코를 위한 머스트해브 아이템입니다.,가정 장식 | 장식,가정 장식 | 장식
243,망고 코트,남성용 망고 코트 어바웃 타운,의류|재킷,의류|재킷
244,어쿠스틱 드럼,이 어쿠스틱 드럼은 아마추어 및 전문 뮤지션에게 적합합니다.,악기|타악기,악기|타악기
245,더치 오븐,모든 주방에서 타의 추종을 불허합니다,가정용품|주방,가정용품|주방
246,브라운 슈즈,남성용 갈색 정장 신발 한 켤레,신발|정장,신발|정장
247,플로어 램프,이 플로어 램프는 집 조명에 꼭 필요한 제품입니다.,홈 데코 | 조명,홈 데코 | 조명
248,그루비 벨트,이 여성용 그루비 벨트는 어떤 상황에도 잘 어울립니다.,액세서리|벨트,액세서리|벨트
249,에브리데이 글래스,주방에 꼭 필요한 아이템,가정용품|주방,가정용품|주방
